board_name,url
Alloy B-Bomb,https://thegoodride.com/snowboard-reviews/alloy-b-bomb-2016-2020-snowboard-review/
Alloy B-Bomb GT,https://thegoodride.com/snowboard-reviews/alloy-b-bomb-gt-2020-snowboard-review/
Alloy D.O Carbon,https://thegoodride.com/snowboard-reviews/alloy-d-o-carbon-2019-2020-snowboard-review/
Alloy Darwin Flow,https://thegoodride.com/snowboard-reviews/alloy-darwin-flow-2020-snowboard-review/
Alloy DO 7X,https://thegoodride.com/snowboard-reviews/alloy-do-7x-2017-snowboard-review/
Alloy DO BC,https://thegoodride.com/snowboard-reviews/alloy-do-bc-2017-snowboard-review/
Alloy Kwang Ki,https://thegoodride.com/snowboard-reviews/alloy-kwang-ki-2020-snowboard-reveiw/
Alloy Outkome,https://thegoodride.com/snowboard-reviews/alloy-outkome-2019-2020-snowboard-review/
Alloy Pandora,https://thegoodride.com/snowboard-reviews/alloy-pandora-womens-2019-snowboard-review/
Alloy Sniper,https://thegoodride.com/snowboard-reviews/alloy-sniper-2016-2020-snowboard-review/
Arbor A-Frame,https://thegoodride.com/snowboard-reviews/arbor-a-frame-2010-2019-snowboard-review/
Arbor Annex,https://thegoodride.com/snowboard-reviews/arbor-annex-2021-snowboard-review/
Arbor Bryan Iguchi Pro Camber,https://thegoodride.com/snowboard-reviews/arbor-bryan-iguchi-pro-camber-2017-2021-snowboard-review/
Arbor Bryan Iguchi Pro Rocker,https://thegoodride.com/snowboard-reviews/arbor-bryan-iguchi-pro-rocker-snowboard-review/
Arbor Cask,https://thegoodride.com/snowboard-reviews/arbor-cask-2019-snowboard-review/
Arbor Clovis,https://thegoodride.com/snowboard-reviews/arbor-clovis-2017-2019-snowboard-review/
Arbor Coda Camber,https://thegoodride.com/snowboard-reviews/arbor-coda-camber-2016-2019-snowboard-review/
Arbor Cosa Nostra,https://thegoodride.com/snowboard-reviews/arbor-cosa-nostra-2017-snowboard-review/
Arbor Crosscut Camber,https://thegoodride.com/snowboard-reviews/arbor-crosscut-camber-2021-snowboard-review/
Arbor  Element,https://thegoodride.com/snowboard-reviews/arbor-element-2010-2017-snowboard-review/
Arbor Element Camber,https://thegoodride.com/snowboard-reviews/arbor-element-camber-2021-snowboard-review/
