board_name,url,Overall Rating,Riding Style,Riding Level,Fits Boot size (US),Manufactured in,Shape,Camber Profile,Stance,Approx. Weight,Powder,Turning Experience,Carving,Speed,Uneven Terrain,Switch,Jumps,Jibbing,Pipe,year,gender,id,similar_boards
Alloy B-Bomb,https://thegoodride.com/snowboard-reviews/alloy-b-bomb-2016-2020-snowboard-review,Liked it!,All Mountain Freestyle,Beginner - Expert,8-10,Tunisia by Nidecker,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Good,Good,Great,Good,Great,Good,Average,Great,"['2016', '2020']",mens,pcQjfBFdQmn6Aqep1PKrAJ8tpZY=,"{'pcQjfBFdQmn6Aqep1PKrAJ8tpZY=': 0.0, 'ABln8DhZ3EE+Guu8ogb64OZKaCE=': 0.2222222222222222, 'atoyJLdhGqK0UBZiXEZUye7FDKw=': 0.3157894736842105, '5fJ8dsqEZsXLLIEMfyjSngx1xNk=': 0.3157894736842105, 'AWuJFfgHBOkpQG+qmc+VBpGudFc=': 0.3157894736842105, 'QqkUxsaxwIlvqdyGKozMXQ5TfxI=': 0.4, 'XnRiixQ6aEAW6yWBy/ZzC/7hjQI=': 0.4, 'n6MJn177Q2bksNDgCkrBJcOmmoA=': 0.4, 'J9CuJG+369Otp4uXiqR3gIrQVbc=': 0.4, 'JgycHeT6noo+jRdqa+nSZJ7Zp+Y=': 0.4}"
Alloy B-Bomb GT,https://thegoodride.com/snowboard-reviews/alloy-b-bomb-gt-2020-snowboard-review,None,Freestyle,Intermediate - Expert,8-10,Tunisia by Nidecker,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Average,Average,Average,Good,Great,Good,Great,Good,['2020'],mens,WdfFXZW/dvMLdhtMZs3ihVDCRHI=,"{'WdfFXZW/dvMLdhtMZs3ihVDCRHI=': 0.0, 'hENLDlugfX680aMndCTcOI9FMLo=': 0.2222222222222222, 'wkj15b4D3T32z+H4qhSWTw4Eut0=': 0.2222222222222222, 'WbfLVWw13yXNux3FblbctWvEPpU=': 0.3157894736842105, 'iXQVgtzgYwua4DOoWcVodZmquqY=': 0.3157894736842105, 'AODzaWIxNnNzm08nkBX8WkY1aSQ=': 0.3157894736842105, 'tR2hGUScuddcUqCseJPrT4monbo=': 0.3157894736842105, 'Nq7CssPsjNqSOtqwLxlY5768gW0=': 0.4, 'n6MJn177Q2bksNDgCkrBJcOmmoA=': 0.4, 'd9GzgOAzChkCBuOuZFHxHrHN77U=': 0.4}"
Alloy D.O Carbon,https://thegoodride.com/snowboard-reviews/alloy-d-o-carbon-2019-2020-snowboard-review,Pretty Good,Freeride,Expert,8-10,Tunisia by Nidecker,Tapered Directional,Traditional Camber,Setback over 20mm,Feels Heavy,Poor,Great,Excellent,Excellent,Poor,Average,Good,Poor,Poor,"['2019', '2020']",mens,GLXwggrHSpW/E/vBriKPps5WPmE=,"{'GLXwggrHSpW/E/vBriKPps5WPmE=': 0.0, '7j4iqh428rEvYvOboeaeLtnxYI0=': 0.47619047619047616, 'IbVxVGqf7kOWjwmJu3U0lxr16gk=': 0.5454545454545454, '+ZvYEcW26n4mo7RibrTDSiCEN00=': 0.5454545454545454, 'M+GKc6aE1PrVthugFaUJJLCAZ+c=': 0.5454545454545454, 'bBvci3L7wISduKWrfn90h6HPenA=': 0.5454545454545454, 'mzRpK7NNgBYZMx6EhSpe2bN8VsI=': 0.6086956521739131, 'fxWQndQxLwvnkpUOh0a+d1Y2/qw=': 0.6086956521739131, 'QhcuswUxH33rf5I1ClysWFhzZuo=': 0.6666666666666666, 'j89ilKmtGI3C/pj56MKWvLnulmc=': 0.6666666666666666}"
Alloy Darwin Flow,https://thegoodride.com/snowboard-reviews/alloy-darwin-flow-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,8-10,Tunisia by Nidecker,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Great,Great,Poor,Average,Poor,Average,['2020'],mens,vyqJS+sM6x2avNeKZCtTt6aTMlA=,"{'vyqJS+sM6x2avNeKZCtTt6aTMlA=': 0.0, 'TAyW3zstxuxEQwSwqUH7ne4JLGI=': 0.11764705882352941, '21h3OL+bggURsCln/CvOpMPk2ac=': 0.2222222222222222, 'lIttRA3r99W6bauqoD8AzxF5NY0=': 0.2222222222222222, '+o7hxqAh4MGAAEj/020+dY+E5Lo=': 0.2222222222222222, '3bzYwGKf8/nR2c42nk2hOSnFmFU=': 0.2222222222222222, 'eaVZwHooYpLWbgRr5bP+rOujWw4=': 0.2222222222222222, 'PFFybJIjYNLcvoyxDvlynU948Gw=': 0.3157894736842105, 'ZACVjCBNwkhtryb5RieUiGVrmYs=': 0.3157894736842105, 'Jv3AJ75zIYf34OW0JoF6ChNNnyk=': 0.3157894736842105}"
Alloy DO 7X,https://thegoodride.com/snowboard-reviews/alloy-do-7x-2017-snowboard-review,Liked it!,Freeride,Expert,8-10,Tunisia by Nidecker,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Poor,Excellent,Excellent,Great,Average,Average,Average,Poor,Poor,['2017'],mens,IbVxVGqf7kOWjwmJu3U0lxr16gk=,"{'IbVxVGqf7kOWjwmJu3U0lxr16gk=': 0.0, '7j4iqh428rEvYvOboeaeLtnxYI0=': 0.11764705882352941, 'mzRpK7NNgBYZMx6EhSpe2bN8VsI=': 0.4, 'bBvci3L7wISduKWrfn90h6HPenA=': 0.47619047619047616, 'GLXwggrHSpW/E/vBriKPps5WPmE=': 0.5454545454545454, 'V8LdwsXcvVQ4Inile9zTx1Ghtc0=': 0.5454545454545454, 'xzXFU56sd4sTzr5LxNYb26AGQiU=': 0.5454545454545454, 'lBlZJUv2aelcHUG/cz6mf3V5iJg=': 0.5454545454545454, 'UidKSZ+FGB2J7n3bQ9tUq8s1qQQ=': 0.5454545454545454, '1n/kKM+uYhRwvpg+6IZ9zDv6vGM=': 0.5454545454545454}"
Alloy DO BC,https://thegoodride.com/snowboard-reviews/alloy-do-bc-2017-snowboard-review,Liked it!,Freeride,Expert,8-10,Tunisia by Nidecker,Tapered Directional,Traditional Camber,Setback over 20mm,Feels Normal,Poor,Excellent,Excellent,Great,Average,Average,Average,Poor,Poor,['2017'],mens,7j4iqh428rEvYvOboeaeLtnxYI0=,"{'7j4iqh428rEvYvOboeaeLtnxYI0=': 0.0, 'IbVxVGqf7kOWjwmJu3U0lxr16gk=': 0.11764705882352941, 'mzRpK7NNgBYZMx6EhSpe2bN8VsI=': 0.4, 'GLXwggrHSpW/E/vBriKPps5WPmE=': 0.47619047619047616, 'bBvci3L7wISduKWrfn90h6HPenA=': 0.47619047619047616, 'lBlZJUv2aelcHUG/cz6mf3V5iJg=': 0.5454545454545454, 'm7O2+xs1TOG/18d07Zbk+t2NgOc=': 0.5454545454545454, 'd8GYV999rNLEt1C+2JdIT3VHOoY=': 0.5454545454545454, 'KtQDYwnZNzICRIXu5reChknckmI=': 0.5909090909090909, 'V8LdwsXcvVQ4Inile9zTx1Ghtc0=': 0.6086956521739131}"
Alloy Kwang Ki,https://thegoodride.com/snowboard-reviews/alloy-kwang-ki-2020-snowboard-reveiw,None,All Mountain,Advanced - Expert,8-10,Tunisia by Nidecker,Directional Twin,Traditional Camber,Setback -10mm,Feels Normal,Poor,Great,Great,Great,Good,Great,Great,Average,Great,['2020'],mens,3CW9TTqpy7zqLJ9BrXQClPA7PPU=,"{'3CW9TTqpy7zqLJ9BrXQClPA7PPU=': 0.0, '22BKyMPqaqO6Tq7trxjj58vMx/Y=': 0.2222222222222222, 'ednR/a8MwvVQu7Vixm6xWueSZtA=': 0.3157894736842105, 'E4tUzRt/rudKtSRbjLEdtyzuZ+k=': 0.3157894736842105, 'X5VwiII0xXn75VZTMIF349GtiI8=': 0.4, '33sNjGKEAN/rqxr9uU1zBaNNkWA=': 0.4, 'Td4mfJpK7uPjFx+395DLsT2rFDQ=': 0.4, '+cQrHQMjaWg6AOGFQMMXjCgSOaM=': 0.4, '5dzRSRj03QwDprjZYB9+9pAnJVg=': 0.4, '8OIQOEo7A2jhdf3nIOf1iNtXRoY=': 0.4}"
Alloy Outkome,https://thegoodride.com/snowboard-reviews/alloy-outkome-2019-2020-snowboard-review,Liked it!,All Mountain,Advanced - Expert,8-10,Tunisia by Nidecker,Directional Twin,Mostly Camber,Setback -20mm,Feels Normal,Average,Great,Great,Great,Good,Good,Great,Average,Great,"['2019', '2020']",mens,X5VwiII0xXn75VZTMIF349GtiI8=,"{'X5VwiII0xXn75VZTMIF349GtiI8=': 0.0, 'xslH2n1sbH9qZDZUIVf3DAGJ31o=': 0.2222222222222222, 'JPb5BUTHBH0TorRFzHgFQOLbfHQ=': 0.2222222222222222, '+cQrHQMjaWg6AOGFQMMXjCgSOaM=': 0.3157894736842105, '3CW9TTqpy7zqLJ9BrXQClPA7PPU=': 0.4, 'IRhS/LYoZnYU8I+waYdA7x0hZM8=': 0.4, 'SsoQG/u9uFqaVuJU1Ez5IPjf090=': 0.4, 'fAV60+ExoMQ5RuBJvsOBc0km0mg=': 0.4, '4lpQm5eEBlRuaxiZgaLzH1jA1J0=': 0.4, 'ednR/a8MwvVQu7Vixm6xWueSZtA=': 0.4}"
Alloy Sniper,https://thegoodride.com/snowboard-reviews/alloy-sniper-2016-2020-snowboard-review,Liked it!,All Mountain,Advanced - Expert,8-10,Tunisia by Nidecker,Directional,Traditional Camber,Setback -20mm,Feels Normal,Average,Great,Great,Great,Good,Good,Great,Poor,Excellent,"['2016', '2020']",mens,IRhS/LYoZnYU8I+waYdA7x0hZM8=,"{'IRhS/LYoZnYU8I+waYdA7x0hZM8=': 0.0, 'X5VwiII0xXn75VZTMIF349GtiI8=': 0.4, 'JPb5BUTHBH0TorRFzHgFQOLbfHQ=': 0.4, 'AUcsgH6pKMN4aV1tk2LmRRZLdro=': 0.4, 'loVDio1ZwN6xBVNwA7G3cGVI0wk=': 0.47619047619047616, 'xslH2n1sbH9qZDZUIVf3DAGJ31o=': 0.47619047619047616, 'GT3tRMO5IvCTnnNEmqU4JX/SFh0=': 0.47619047619047616, 'zEDUhG6KKV4Wfibh0k237vpPBks=': 0.47619047619047616, '3CW9TTqpy7zqLJ9BrXQClPA7PPU=': 0.5454545454545454, '49q5/R4aizM1/UbGwtxs9Rt8k58=': 0.5454545454545454}"
Arbor A-Frame,https://thegoodride.com/snowboard-reviews/arbor-a-frame-2010-2019-snowboard-review,Liked it!,Freeride,Advanced - Expert,"8-10, 10-12, > 12",Dubai by SWS,Tapered Directional,Mostly Camber,Setback -10mm,Feels Normal,Good,Excellent,Excellent,Excellent,Average,Poor,Average,Poor,Average,"['2010', '2019']",mens,V8LdwsXcvVQ4Inile9zTx1Ghtc0=,"{'V8LdwsXcvVQ4Inile9zTx1Ghtc0=': 0.0, 'xzXFU56sd4sTzr5LxNYb26AGQiU=': 0.3157894736842105, 'lBlZJUv2aelcHUG/cz6mf3V5iJg=': 0.47619047619047616, 'IbVxVGqf7kOWjwmJu3U0lxr16gk=': 0.5454545454545454, 'OLJuMjHluCQTvZEBqb5hkzC2u2s=': 0.5454545454545454, 'm7O2+xs1TOG/18d07Zbk+t2NgOc=': 0.5454545454545454, 'GGXFN7xhPSrlQO1n4tikMypaXsw=': 0.5454545454545454, 'X79py8yrTskvFt84Xm8zD5MTFww=': 0.5454545454545454, '3QVkA/OUlMaiaaigtFmltzLS6bA=': 0.5454545454545454, '1n/kKM+uYhRwvpg+6IZ9zDv6vGM=': 0.5454545454545454}"
