board_name,url,Overall Rating,Riding Style,Riding Level,Fits Boot size (US),Manufactured in,Shape,Camber Profile,Stance,Approx. Weight,Powder,Turning Experience,Carving,Speed,Uneven Terrain,Switch,Jumps,Jibbing,Pipe,year,gender
Alloy B-Bomb,https://thegoodride.com/snowboard-reviews/alloy-b-bomb-2016-2020-snowboard-review,Liked it!,All Mountain Freestyle,Beginner - Expert,8-10,Tunisia by Nidecker,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Good,Good,Great,Good,Great,Good,Average,Great,"['2016', '2020']",mens
Alloy B-Bomb GT,https://thegoodride.com/snowboard-reviews/alloy-b-bomb-gt-2020-snowboard-review,None,Freestyle,Intermediate - Expert,8-10,Tunisia by Nidecker,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Average,Average,Average,Good,Great,Good,Great,Good,['2020'],mens
Alloy D.O Carbon,https://thegoodride.com/snowboard-reviews/alloy-d-o-carbon-2019-2020-snowboard-review,Pretty Good,Freeride,Expert,8-10,Tunisia by Nidecker,Tapered Directional,Traditional Camber,Setback over 20mm,Feels Heavy,Poor,Great,Excellent,Excellent,Poor,Average,Good,Poor,Poor,"['2019', '2020']",mens
Alloy Darwin Flow,https://thegoodride.com/snowboard-reviews/alloy-darwin-flow-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,8-10,Tunisia by Nidecker,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Great,Great,Poor,Average,Poor,Average,['2020'],mens
Alloy DO 7X,https://thegoodride.com/snowboard-reviews/alloy-do-7x-2017-snowboard-review,Liked it!,Freeride,Expert,8-10,Tunisia by Nidecker,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Poor,Excellent,Excellent,Great,Average,Average,Average,Poor,Poor,['2017'],mens
Alloy DO BC,https://thegoodride.com/snowboard-reviews/alloy-do-bc-2017-snowboard-review,Liked it!,Freeride,Expert,8-10,Tunisia by Nidecker,Tapered Directional,Traditional Camber,Setback over 20mm,Feels Normal,Poor,Excellent,Excellent,Great,Average,Average,Average,Poor,Poor,['2017'],mens
Alloy Kwang Ki,https://thegoodride.com/snowboard-reviews/alloy-kwang-ki-2020-snowboard-reveiw,None,All Mountain,Advanced - Expert,8-10,Tunisia by Nidecker,Directional Twin,Traditional Camber,Setback -10mm,Feels Normal,Poor,Great,Great,Great,Good,Great,Great,Average,Great,['2020'],mens
Alloy Outkome,https://thegoodride.com/snowboard-reviews/alloy-outkome-2019-2020-snowboard-review,Liked it!,All Mountain,Advanced - Expert,8-10,Tunisia by Nidecker,Directional Twin,Mostly Camber,Setback -20mm,Feels Normal,Average,Great,Great,Great,Good,Good,Great,Average,Great,"['2019', '2020']",mens
Alloy Sniper,https://thegoodride.com/snowboard-reviews/alloy-sniper-2016-2020-snowboard-review,Liked it!,All Mountain,Advanced - Expert,8-10,Tunisia by Nidecker,Directional,Traditional Camber,Setback -20mm,Feels Normal,Average,Great,Great,Great,Good,Good,Great,Poor,Excellent,"['2016', '2020']",mens
Arbor A-Frame,https://thegoodride.com/snowboard-reviews/arbor-a-frame-2010-2019-snowboard-review,Liked it!,Freeride,Advanced - Expert,"8-10, 10-12, > 12",Dubai by SWS,Tapered Directional,Mostly Camber,Setback -10mm,Feels Normal,Good,Excellent,Excellent,Excellent,Average,Poor,Average,Poor,Average,"['2010', '2019']",mens
