board_name,url,Overall Rating,Riding Style,Riding Level,Fits Boot size (US),Manufactured in,Shape,Camber Profile,Stance,Approx. Weight,Powder,Turning Experience,Carving,Speed,Uneven Terrain,Switch,Jumps,Jibbing,Pipe,year
Alloy Pandora,https://thegoodride.com/snowboard-reviews/alloy-pandora-women's-2019-snowboard-review,None,All Mountain Freestyle,Expert,Women's,Tunisia by Nidecker,Directional Twin,Traditional Camber,Centered,Feels Normal,Poor,Great,Excellent,Great,Good,Great,Excellent,Average,Excellent,['2019']
Arbor Ethos,https://thegoodride.com/snowboard-reviews/arbor-ethos-2021-snowboard-review,Liked it!,All Mountain Freestyle,Beginner - Intermediate,"Women's, < 8, 8-10",Dubai by SWS,Directional Twin,Continuous Rocker,Setback -5mm,Feels Normal,Good,Good,Poor,Average,Good,Great,Good,Great,Average,['2021']
Arbor Poparazzi Camber,https://thegoodride.com/snowboard-reviews/arbor-poparazzi-camber-2021-snowboard-review,Liked it!,All Mountain,Intermediate - Advanced,"Women's, < 8, 8-10",Dubai by SWS,Directional Twin,Traditional Camber,Centered,Feels Normal,Average,Great,Good,Good,Great,Excellent,Great,Good,Great,['2021']
Arbor Swoon,https://thegoodride.com/snowboard-reviews/arbor-swoon-2011-2018-snowboard-review,Pretty Good,All Mountain Freestyle,Beginner - Expert,Women's,Dubai by SWS,Directional Twin,Continuous Rocker,Centered,Feels Normal,Average,Average,Average,Average,Excellent,Great,Excellent,Good,Good,"['2011', '2018']"
Arbor Swoon Camber,https://thegoodride.com/snowboard-reviews/arbor-swoon-camber-snowboard-review-and-buying-advice,Pretty Good,All Mountain Freestyle,Advanced - Expert,Women's,Dubai by SWS,Directional Twin,Mostly Camber,Centered,Feels Normal,Average,Good,Great,Great,Good,Great,Excellent,Good,Great,[]
Arbor Veda,https://thegoodride.com/snowboard-reviews/arbor-veda-2021-snowboard-review,Liked it!,Freeride,Intermediate - Expert,"Women's, < 8, 8-10, 10-12",Dubai by SWS,Tapered Directional,Traditional Camber,Setback -20mm,Feels Normal,Great,Great,Great,Great,Great,Average,Good,Poor,Good,['2021']
Arbor Womens Clovis,https://thegoodride.com/snowboard-reviews/arbor-womens-clovis-2021-snowboard-review,Liked it!,Freeride,Intermediate - Expert,"Women's, < 8, 8-10, 10-12",Dubai by SWS,Tapered Directional,Mostly Camber,Centered,Feels Heavy,Good,Great,Good,Great,Great,Average,Good,Average,Good,['2021']
Burton Day Trader,https://thegoodride.com/snowboard-reviews/burton-day-trader-2014-2019-snowboard-review,Pretty Good,Freeride,Intermediate - Expert,Women's,China,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Great,Good,Average,Good,Great,Average,Average,Average,Average,"['2014', '2019']"
Burton Deja Vu,https://thegoodride.com/snowboard-reviews/burton-deja-vu-2012-2018-snowboard-review,Pretty Good,All Mountain,Beginner - Advanced,Women's,China,Directional Twin,Hybrid Rocker,Setback -12.5mm,Feels Normal,Good,Average,Average,Good,Great,Great,Great,Good,Average,"['2012', '2018']"
Burton Feelgood,https://thegoodride.com/snowboard-reviews/burton-feelgood-review-and-buying-advice,Liked it!,All Mountain,Intermediate - Expert,Women's,China,Twinish,Traditional Camber,Setback -12.5mm,Feels Normal,Poor,Great,Great,Great,Good,Good,Good,Average,Good,[]
Burton  Rewind,https://thegoodride.com/snowboard-reviews/burton-rewind-2020-snowboard-review,Pretty Good,All Mountain Freestyle,Intermediate - Expert,"Women's, < 8, 8-10",None,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Good,Average,Great,Good,Great,Great,Good,Great,['2020']
Burton Stick Shift,https://thegoodride.com/snowboard-reviews/burton-stick-shift-2019-snowboard-review,Liked it!,Powder,Advanced - Expert,Women's,Austria,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Great,Good,Average,Good,Good,Poor,Average,Average,Average,['2019']
Burton Story Board,https://thegoodride.com/snowboard-reviews/burton-story-board-2019-snowboard-review,Liked it!,Freeride,Advanced - Expert,Women's,Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Excellent,Great,Great,Good,Average,Good,Poor,Good,['2019']
Burton Womens Super Bueno,https://thegoodride.com/snowboard-reviews/burton-womens-super-bueno-2020-snowboard-review,Pretty Good,Freeride,Advanced - Expert,"Women's, 8-10, 10-12",None,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Great,Great,Average,Great,Poor,Good,['2020']
Capita Birds Of A Feather,https://thegoodride.com/snowboard-reviews/capita-birds-of-a-feather-2013-2019-snowboard-review,Liked it!,All Mountain Freestyle,Advanced - Expert,Women's,Austria at The Mothership,True Twin,Hybrid Camber,Centered,Feels Light,Poor,Good,Average,Good,Good,Great,Great,Good,Good,"['2013', '2019']"
Capita Jess Kimura Pro,https://thegoodride.com/snowboard-reviews/capita-jess-kimura-pro-2019-snowboard-review,Liked it!,All Mountain,Intermediate - Expert,Women's,Austria at The Mothership,Directional Twin,Directional Camber,Centered,Feels Normal,Average,Good,Good,Good,Great,Good,Good,Average,Good,['2019']
Capita Paradise Falls,https://thegoodride.com/snowboard-reviews/capita-paradise-falls-2017-2019-snowboard-review,Loved it!,All Mountain Freestyle,Intermediate - Expert,Women's,Austria by The Mothership,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Good,Good,Good,Great,Great,Great,Good,Good,"['2017', '2019']"
Capita Space Metal Fantasy,https://thegoodride.com/snowboard-reviews/capita-space-metal-fantasy-2010-2019-snowboard-review,Loved it!,Jib / Street,Intermediate - Expert,Women's,Austria at The Mothership,True Twin,Flat to Rocker,Centered,Feels Normal,Poor,Average,Average,Average,Good,Great,Good,Great,Average,"['2010', '2019']"
Decathlon Serenity 100,https://thegoodride.com/snowboard-reviews/decathlon-serenity-100-2020-review,Pretty Good,All Mountain,Beginner - Intermediate,"Women's, < 8, 8-10",None,Directional Twin,Traditional Camber,Setback -10mm,Feels Heavy,Average,Good,Great,Great,Good,Good,Good,Poor,Good,['2020']
Decathlon Serenity 500,https://thegoodride.com/snowboard-reviews/decathlon-serenity-500-2020-snowboard-review,Pretty Good,All Mountain,Intermediate - Advanced,"Women's, < 8, 8-10, 10-12",None,Directional,Directional Camber,Setback -15mm,Feels Heavy,Good,Good,Great,Great,Good,Average,Average,Poor,Average,['2020']
Decathlon Womens Bullwhip 700 Dreamscape,https://thegoodride.com/snowboard-reviews/decathlon-womens-bullwhip-700-dreamscape-2020-snowboard-review,Liked it!,Aggressive All Mountain,Advanced - Expert,"Women's, 8-10, 10-12",None,Tapered Directional,Directional Camber,Setback over 20mm,Feels Heavy,Great,Great,Great,Great,Good,Poor,Average,Poor,Average,['2020']
Decathlon Womens Endzone 500,https://thegoodride.com/snowboard-reviews/decathlon-womens-endzone-500-2020-snowboard-review,Liked it!,All Mountain Freestyle,Intermediate - Advanced,"Women's, < 8, 8-10",None,True Twin,Flat to Rocker,Centered,Feels Heavy,Good,Good,Average,Good,Good,Great,Good,Good,Average,['2020']
Elevated Surf Craft Minni Driver,https://thegoodride.com/snowboard-reviews/elevated-surf-craft-minni-driver-2020-snowboard-review,Pretty Good,Alternative Freeride,Intermediate - Expert,"Women's, < 8, 8-10, 10-12, > 12",None,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Good,Good,Good,Good,Great,Great,Great,Poor,Good,['2020']
Elevated Surf Craft Minni Fish,https://thegoodride.com/snowboard-reviews/elevated-surf-craft-minni-fish-2020-snowboard-review,Liked it!,Alternative Freeride,Intermediate - Expert,"Women's, < 8, 8-10, 10-12, > 12",None,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Great,Great,Good,Good,Good,Poor,Average,Poor,Good,['2020']
Endeavor Womens Alpha,https://thegoodride.com/snowboard-reviews/endeavor-womens-alpha-2020-snowboard-review,Liked it!,Aggressive All Mountain,Advanced - Expert,"Women's, 8-10, 10-12, > 12",None,Directional Twin,Traditional Camber,None,Feels Normal,Poor,Great,Excellent,Excellent,Poor,Good,Average,Poor,Average,['2020']
Endeavor Womens Archetype,https://thegoodride.com/snowboard-reviews/endeavor-womens-archetype-2020-snowboard-review,Loved it!,Alternative Freeride,Intermediate - Expert,"Women's, 8-10, 10-12, > 12",None,Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Great,Average,Good,Poor,Good,['2020']
Endeavor Womens Clout,https://thegoodride.com/snowboard-reviews/endeavor-womens-clout-2020-snowboard-review,Liked it!,All Mountain,Intermediate - Advanced,"Women's, 8-10, 10-12, > 12",None,Directional Twin,Traditional Camber,Centered,Feels Normal,Good,Great,Great,Great,Great,Great,Great,Average,Great,['2020']
Endeavor Womens Pioneer,https://thegoodride.com/snowboard-reviews/endeavor-womens-pioneer-2020-snowboard-review,Liked it!,Aggressive All Mountain Freestyle,Advanced - Expert,"Women's, 8-10, 10-12",None,Directional Twin,Hybrid Camber,Centered,Feels Normal,Good,Great,Great,Great,Good,Great,Great,Good,Great,['2020']
Gentemstick Baby Mantaray,https://thegoodride.com/snowboard-reviews/gentemstick-baby-mantaray-2020-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,Women's,China,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Great,Poor,Average,Poor,Average,['2020']
Gentemstick  Mermaid,https://thegoodride.com/snowboard-reviews/gentemstick-mermaid-2020-snowboard-review,Loved it!,Alternative Freeride,Intermediate - Advanced,"Women's, 8-10",None,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Good,Great,Average,Average,Poor,Good,['2020']
Gentemstick Trinity,https://thegoodride.com/snowboard-reviews/gentemstick-trinity-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,Women's,None,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Good,Poor,Average,Poor,Poor,[]
Gilson  Glacier,https://thegoodride.com/snowboard-reviews/gilson-glacier-2020-snowboard-review,Pretty Good,All Mountain,Intermediate - Advanced,"Women's, 8-10",None,True Twin,Traditional Camber,Centered,Feels Heavy,Great,Good,Great,Good,Good,Great,Good,Average,Good,['2020']
Gilson Nirvana,https://thegoodride.com/snowboard-reviews/gilson-nirvana-2020-snowboard-review,Pretty Good,Freestyle,Intermediate - Advanced,"Women's, 8-10",None,True Twin,Flat to Rocker,Centered,Feels Heavy,Good,Good,Great,Good,Good,Great,Good,Good,Average,['2020']
Gnu B-Nice,https://thegoodride.com/snowboard-reviews/gnu-b-nice-2010-2019-snowboard-review,Liked it!,Freestyle,Beginner - Expert,Women's,USA by Mervin,Asymmetrical Twin,Continuous Rocker,Centered,Feels Heavy,Average,Good,Average,Average,Great,Excellent,Good,Good,Good,"['2010', '2019']"
Gnu B-Pro,https://thegoodride.com/snowboard-reviews/gnu-b-pro-2014-2019-snowboard-review,Liked it!,All Mountain Freestyle,Advanced - Expert,Women's,USA by Mervin,True Twin,Mostly Camber,Centered,Feels Heavy,Poor,Great,Great,Great,Average,Great,Great,Average,Great,"['2014', '2019']"
Gnu Chromatic,https://thegoodride.com/snowboard-reviews/gnu-chromatic-2019-snowboard-review,Liked it!,All Mountain,Beginner - Advanced,Women's,USA By Mervin,Directional Twin,Continuous Rocker,Centered,Feels Normal,Good,Good,Average,Average,Good,Good,Average,Good,Good,['2019']
Gnu Free Spirit,https://thegoodride.com/snowboard-reviews/gnu-free-spirit-2018-2019-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,"Women's, < 8",USA by Mervin,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Great,Average,Average,Good,Poor,Average,"['2018', '2019']"
Gnu Gloss,https://thegoodride.com/snowboard-reviews/gnu-gloss-2018-2019-snowboard-review,Liked it!,All Mountain,Beginner - Expert,Women's,USA by Mervin,Directional Twin,Hybrid Rocker,Centered,Feels Normal,Good,Good,Average,Good,Great,Great,Good,Good,Good,"['2018', '2019']"
Gnu Klassy,https://thegoodride.com/snowboard-reviews/gnu-klassy-2019-snowboard-review,Liked it!,Freeride,Beginner - Expert,"Women's, < 8",USA by Mervin,Tapered Directional,Hybrid Rocker,Setback over 20mm,Feels Normal,Great,Good,Good,Good,Good,Average,Good,Average,Good,['2019']
Gnu Ladies Choice,https://thegoodride.com/snowboard-reviews/gnu-ladies-choice-2013-2019-snowboard-review,Loved it!,Freestyle,Beginner - Expert,Women's,USA by Mervin,Asymmetrical Twin,Hybrid Rocker,Centered,Feels Heavy,Average,Good,Good,Good,Great,Excellent,Excellent,Good,Great,"['2013', '2019']"
Gnu Ladies Hyperkyarve,https://thegoodride.com/snowboard-reviews/gnu-ladies-hyperkyarve-2019-snowboard-review,Liked it!,Freeride,Beginner - Expert,Women's,USA by Mervin,Tapered Directional,Hybrid Rocker,Setback over 20mm,Feels Normal,Good,Good,Good,Good,Great,Good,Good,Average,Good,['2019']
GNU Pro Choice,https://thegoodride.com/snowboard-reviews/gnu-pro-choice-2020-snowboard-review,Liked it!,All Mountain Freestyle,Intermediate - Expert,"Women's, 8-10",None,Asymmetrical Twin,Hybrid Rocker,Centered,Feels Normal,Average,Great,Great,Great,Good,Excellent,Great,Good,Great,['2020']
Gnu Velvet,https://thegoodride.com/snowboard-reviews/gnu-velvet-2013-2019-snowboard-review,Liked it!,All Mountain Freestyle,Beginner - Advanced,Women's,USA by Mervin,Asymmetrical Twin,Hybrid Rocker,Centered,Feels Heavy,Average,Good,Average,Good,Good,Excellent,Good,Good,Good,"['2013', '2019']"
GNU Whip,https://thegoodride.com/snowboard-reviews/gnu-whip-2020-snowboard-review,Pretty Good,Aggressive All Mountain,Advanced - Expert,"Women's, 8-10",None,Tapered Directional,Hybrid Rocker,None,Feels Normal,Good,Great,Great,Great,Average,Average,Average,Poor,Good,['2020']
Jones Airheart,https://thegoodride.com/snowboard-reviews/jones-airheart-2018-2020-snowboard-review,Liked it!,All Mountain,Intermediate - Expert,Women's,Dubai by SWS,Twinish,Hybrid Camber,Setback -20mm,Feels Light,Good,Good,Good,Good,Average,Good,Great,Average,Good,"['2018', '2020']"
Jones Dream Catcher,https://thegoodride.com/snowboard-reviews/jones-dream-catcher-women's-2020-snowboard-review,Loved it!,All Mountain,Beginner - Expert,"Women's, 8-10",Dubai by SWS,Directional Twin,Hybrid Camber,Setback -20mm,Feels Normal,Good,Great,Good,Great,Great,Great,Great,Great,Good,['2020']
Jones Solution Splitboard,https://thegoodride.com/snowboard-reviews/jones-solution-splitboard-2020-snowboard-review,Liked it!,Freeride,Advanced - Expert,"Women's, 8-10",Dubai by SWS,Tapered Directional,Hybrid Camber,Setback -20mm,Feels Normal,Excellent,Great,Great,Great,Good,Poor,Poor,Poor,Poor,['2020']
